dataset,model,threshold,eligible_items,excluded_items,reference,spearman_rho
xes3g5m,gpt-4o-mini,5,4258,1105,test_smoothed_error,-0.09696961282092185
xes3g5m,gpt-5.4,5,4258,1105,test_smoothed_error,-0.11292056872660192
xes3g5m,gpt-4o-mini,10,3851,1512,test_smoothed_error,-0.0924686897946673
xes3g5m,gpt-5.4,10,3851,1512,test_smoothed_error,-0.11216558251917896
xes3g5m,gpt-4o-mini,20,3279,2084,test_smoothed_error,-0.10709592942545954
xes3g5m,gpt-5.4,20,3279,2084,test_smoothed_error,-0.11482425577989072
xes3g5m,gpt-4o-mini,50,2196,3167,test_smoothed_error,-0.16754744824855922
xes3g5m,gpt-5.4,50,2196,3167,test_smoothed_error,-0.17321612241995676
xes3g5m,gpt-4o-mini,100,1539,3824,test_smoothed_error,-0.1734618412475887
xes3g5m,gpt-5.4,100,1539,3824,test_smoothed_error,-0.1785159272830821
junyi,gpt-4o-mini,5,183,7,test_smoothed_error,-0.23587472939759976
junyi,gpt-5.4,5,183,7,test_smoothed_error,-0.17359901281479165
junyi,gpt-4o-mini,10,183,7,test_smoothed_error,-0.23587472939759976
junyi,gpt-5.4,10,183,7,test_smoothed_error,-0.17359901281479165
junyi,gpt-4o-mini,20,183,7,test_smoothed_error,-0.23587472939759976
junyi,gpt-5.4,20,183,7,test_smoothed_error,-0.17359901281479165
junyi,gpt-4o-mini,50,183,7,test_smoothed_error,-0.23587472939759976
junyi,gpt-5.4,50,183,7,test_smoothed_error,-0.17359901281479165
junyi,gpt-4o-mini,100,180,10,test_smoothed_error,-0.2405005526084846
junyi,gpt-5.4,100,180,10,test_smoothed_error,-0.17731565767238255
