slug,html_present,html_sha256,download_url,question_text_len,title_text_len,stem_text_len,stem_source,cleaned_text_len,has_latex,has_dynamic_vars,has_image_dep,has_graphie,graphie_only_no_question_text,has_multiple_choice,intelligible,duplicate_html_slugs,response_count,area,is_math_domain,eligible_for_llm
absolute_value,True,1150e36722ebfb9d39de21a035d77339e3d43496986fe69d09c1019034a63a08,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/absolute_value.html,36,3.0,36.0,question_div,721,True,True,True,True,False,False,True,0,106815,algebra,True,True
absolute_value_add_sub,True,3e4369e91f70bed8da517f178bb212ddb0a0848ea46fdee54aba5d3045e314f8,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/absolute_value_add_sub.html,72,10.0,72.0,question_div,1020,True,True,False,False,False,False,True,0,16915,algebra,True,True
absolute_value_add_sub_properties,True,8db9a05e415a579d07a5c96065cfe6a01a0e01407dd42a1c4ba292a0fe956274,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/absolute_value_add_sub_properties.html,58,10.0,58.0,question_div,1629,True,True,False,False,False,False,True,0,10134,algebra,True,True
absolute_value_equations,True,e8f087e7de5055b87ea6776e1beb3f9ca3efb82fc13a0e82ecef767a080a9bb6,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/absolute_value_equations.html,54,6.0,54.0,question_div,3786,True,True,False,False,False,True,True,0,2983,algebra,True,True
absolute_value_of_complex_numbers,True,ff5aefce051216a73cc90ce89712f4b0d97b59bbcf7d88b4379406554aa120f2,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/absolute_value_of_complex_numbers.html,37,6.0,37.0,question_div,1200,True,True,True,True,False,False,True,0,3020,algebra,True,True
absolute_values_meaning,True,8bb988cf9a351022fb4584e21f06cd30e19c20fcfb2ac10aed2bd005f85d5a34,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/absolute_values_meaning.html,23,6.0,23.0,question_div,3680,True,True,False,False,False,False,True,0,30816,algebra,True,True
add_subtract_negative_fractions,True,23981c41df645584e4d7accc03f3a71250209dc4cc6c0e6eb829f2fcae7b0f24,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/add_subtract_negative_fractions.html,51,7.0,51.0,question_div,1346,True,True,False,False,False,False,True,0,24640,algebra,True,True
adding_and_subtracting_centimeter_and_millimeter,True,e47c3380af7e72b316db1cc069a866eed906ad70b7ab2392f4ca6ee24e3da068,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_and_subtracting_centimeter_and_millimeter.html,66,11.0,66.0,question_div,4425,True,True,True,True,False,False,True,0,5380,arithmetic,True,True
adding_and_subtracting_complex_numbers,True,529b20335f01befe3a5d48da32a0736cf856964029860cf736c7a504c4b3e2a5,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_and_subtracting_complex_numbers.html,127,5.0,127.0,question_div,1082,True,True,False,False,False,False,True,0,3696,algebra,True,True
adding_and_subtracting_decimals_word_problems,True,aedfed4d6ba280ca2b4230ff1888ca718f6624366e1b5a7e7f4466284069145e,https://raw.githubusercontent.com/junyiacademy/junyiexercise/master/exercises/adding_and_subtracting_decimals_word_problems.html,19,9.0,19.0,question_div,5075,False,True,True,True,False,False,True,0,32787,arithmetic,True,True
