dataset,model,target,n_items,spearman_rho
xes3g5m,gpt-4o-mini,smoothed_error_beta_1_1,3279,-0.10709592942545954
xes3g5m,gpt-4o-mini,smoothed_error_rebuilt,3279,0.10709592942545954
xes3g5m,gpt-4o-mini,smoothed_correctness_rebuilt,3279,-0.10709592942545954
xes3g5m,gpt-4o-mini,raw_error_rebuilt,3279,0.09633995132018906
xes3g5m,gpt-4o-mini,raw_correctness_rebuilt,3279,-0.09633995132018906
xes3g5m,gpt-5.4,smoothed_error_beta_1_1,3279,-0.11482425577989072
xes3g5m,gpt-5.4,smoothed_error_rebuilt,3279,0.11482425577989072
xes3g5m,gpt-5.4,smoothed_correctness_rebuilt,3279,-0.11482425577989072
xes3g5m,gpt-5.4,raw_error_rebuilt,3279,0.10246705524640908
xes3g5m,gpt-5.4,raw_correctness_rebuilt,3279,-0.10246705524640908
junyi,gpt-4o-mini,smoothed_error_beta_1_1,183,-0.23587472939759976
junyi,gpt-4o-mini,smoothed_error_rebuilt,183,0.23587472939759976
junyi,gpt-4o-mini,smoothed_correctness_rebuilt,183,-0.23587472939759976
junyi,gpt-4o-mini,raw_error_rebuilt,183,0.23496920635351318
junyi,gpt-4o-mini,raw_correctness_rebuilt,183,-0.23496920635351318
junyi,gpt-5.4,smoothed_error_beta_1_1,183,-0.17359901281479165
junyi,gpt-5.4,smoothed_error_rebuilt,183,0.17359901281479165
junyi,gpt-5.4,smoothed_correctness_rebuilt,183,-0.17359901281479165
junyi,gpt-5.4,raw_error_rebuilt,183,0.1733493135172422
junyi,gpt-5.4,raw_correctness_rebuilt,183,-0.1733493135172422
