dataset,model,item_id_hash,scalar_difficulty,score_band,valid_visible_content,no_invented_outcomes,no_answer_leakage,no_unavailable_reconstruction,rationale_consistent,no_systematic_default,spot_check_pass
xes3g5m,gpt-4o-mini,399f31bb77626b4f9ddf33e8838c9a493eb27653ce3062925ca7814fb4bd02ea,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,371c91f2fec3c849f989c5c664f52e4d9b9147c680dc302d2be701d0a6e28ff4,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,0b9ef8cfe8f002956c0f48f793963d06a6dc6eb99d072821eb5d00693b4cd6f2,0.3,low,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,f1d295f2822c6814f20d30fafd2fad2f8ab17838376c25dbd4bfac1aee2a4aa2,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,66c831cbd4586c36efa1b6213fa8bae301952d7f1113c81d2a84723b96035154,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,c1a0fc3d443376818fd1ff3099f4263f13617fe7ee7c92477a4daed1710536b2,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,feda5906d53e31d887fc15cfa36c21f3367f1f4cc44a464502fbbb7df99b18c9,0.7,high,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,b0a698d5b672a0ac8de3a1a38aef3c1dd9f26eb041bb4a6cd02fc6cc9a0ada65,0.4,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,170dabb0264c4e632ab77b822b9001a279d81846071909872bdcca3b52304936,0.7,high,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,b45b8a48547670cb9979401b8e9f535bc116a2016cad82dfbda0876720d89709,0.4,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,ad6358fae54876b306405a42456b19d958e60a463bf149e3d63e06e083ced9b0,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,ccfdbd7a86e0cde7202974f97823cf8f2601abaaac95b2e512bc2590d3650869,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,f602900773d36f0772d3e6826e30868d19c066b846d31084eaa8b2c6b7a982de,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,574bae2b5dfab299169bff20485b10e2f7f0a21f339be9bbd4447814030e0fdc,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,f6f37d77a1fefa4da4091b04a8e24effe15ce3b5c009512fcb9a47621aa5f25c,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,63949bebc52cd063e6771e799e791ea5e2e986c73cc6ee9ed050d52dee05b34f,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,1d5a8ddd8fdc9f5a66e15dd8da07b0576d043def41aadb54f72c482974657220,0.4,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,03a86d062be76af46717a2584b2a9fd8fb1b3e6e371980c7fac18556ec7e5b96,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,0f1911c8203ee27b98691c6fdac6676f594d88a3ff1b39018f42fe3eb9ba0eca,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,084452b6012cfcfbee8ec7ec721b2f1ed0ee216634717eb860b6255fa3f785ad,0.7,high,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,4bc1bf7f1fa9e3a7350ec2fc32074d4cd1be0cedeb91e323caee9e9d3c2e1d58,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,d9ce42ce1d183542c48b5b8c50f5882a6948517a30504873733a02e9e5eadde9,0.4,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,edd27499c76cb3f7349251254ac77663d6cec3d7aafe62fc34c7d8bb0cb1ae2f,0.6,mid,True,True,True,True,True,True,True
xes3g5m,gpt-4o-mini,7b7a1465a2a8da2ee0df221d0a34e16e20ed0b7aac2187f4b6332ba5e194227e,0.6,mid,True,True,True,True,True,True,True
