item_id,item_id_hash,random_score,source_distribution,rng_seed,mapping_hash,source_protocol
2,dbe_2,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
3,dbe_3,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
4,dbe_4,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
5,dbe_5,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
6,dbe_6,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
7,dbe_7,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
8,dbe_8,0.7,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
9,dbe_9,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
10,dbe_10,0.7,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
11,dbe_11,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
12,dbe_12,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
13,dbe_13,0.7,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
14,dbe_14,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
15,dbe_15,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
16,dbe_16,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
17,dbe_17,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
18,dbe_18,0.7,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
19,dbe_19,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
20,dbe_20,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
21,dbe_21,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
22,dbe_22,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
23,dbe_23,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
24,dbe_24,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
25,dbe_25,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
26,dbe_26,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
27,dbe_27,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
28,dbe_28,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
29,dbe_29,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
30,dbe_30,0.7,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
31,dbe_31,0.1,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
32,dbe_32,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
33,dbe_33,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
34,dbe_34,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
35,dbe_35,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
36,dbe_36,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
37,dbe_37,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
38,dbe_38,0.3,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
39,dbe_39,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
40,dbe_40,0.1,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
41,dbe_41,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
42,dbe_42,0.7,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
43,dbe_43,0.2,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
44,dbe_44,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
45,dbe_45,0.5,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
46,dbe_46,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
47,dbe_47,0.4,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
48,dbe_48,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
49,dbe_49,0.6,gpt-4o-mini_scalar_difficulty,2024,249a15ef1355467b1da7074d9e6926d66df33fcda1afff399773694bccfedb0f,Random-ResampledScore=Random-Scalar;choice_with_replacement;mask_seed=2024
