item_id_hash,response_count,student_count,item_content_present,item_content_type,item_content_intelligible,mathematical_problem_present,answer_information_present,correctness_join_valid,sequence_join_valid,skill_mapping_present,eligible_for_llm_scoring,eligible_for_kt,decision,audit_note,content_preview_hash
73f5a45a98954cf5,106815,73968,False,display_title_only,False,False,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,6825f71d3b40fb83
aef3949f195cd15f,866,729,False,display_title_only,False,False,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,cb3b5792dd8532df
a6c6a89e7c352d44,46847,35020,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,db6911d4408cd3f9
9b5425c6f95cd36a,1412,1253,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,ec36c3dd33213e34
735241b2fe3fc048,7224,5460,False,display_title_only,False,False,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,ca784adc391f7668
d10b367e09d3022d,11911,9141,False,display_title_only,False,False,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,a1067fff6d91ccfb
09f557a8747c01cf,1020,647,False,display_title_only,False,False,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,5e0b5f222211fd66
93f281d9b5ec4422,2054,1811,False,display_title_only,False,False,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,d5548de50e7538b5
3caefe3c8401bed7,4525,3610,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,848da3cbb79cc8eb
2fbe96c0e193c33a,28256,22066,False,display_title_only,False,False,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,d8f4e0bf85ef550e
b3c1f534716d90c1,1458,952,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,6f72c0a046efb125
c9701f3455a5e7cb,30103,24782,False,display_title_only,False,False,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,05a5db2fcafde346
eb11a88fd887ee0b,1360,1159,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,2c5354113569416f
4891f1535af93d68,14985,12233,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,9d4ab9f4b35a7d34
d693610c72acdd96,2115,1693,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,52b06f7a6d573a6f
22e37a728593d4d1,7261,5318,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,3966cf1d76cbab48
b3dc49e64cd77e9e,5380,4418,False,display_title_only,False,False,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,a537ef26011e4af4
681a56eddb7e4302,208,188,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,0df89a84c05d1b60
1705e4ae3da8f416,8,8,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,6fe1b15176c899b5
075ee9136a4fa061,14154,11768,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,29476d3657656b88
fcd54e4c34a41723,432737,307000,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,990f4fcf1f6d8585
ce32d1ef36a7d148,148970,120242,False,display_title_only,False,True,True,True,True,True,False,True,FAIL,Only exercise slug + Chinese display title + topic metadata; no machine-readable problem stem in junyi_Exercise_table.csv,2792f4db36855744
