dataset,item_id_hash,source_content_hash,item_content_type,item_format,eligible_for_llm_scoring,llm_exclusion_primary_reason,llm_exclusion_secondary_flags,content_sufficiency_rule_version,has_image_dependency,has_dynamic_template,graphie_only_no_question_text
junyi,ce0f2ad8c850cfde17868229f0f28d2f8b1f10af534cbfade85eec8477f97f45,bd31e1162df706cdb38bd51dbcf97bc2ac2d491c033c93130d1a975281f8a556,html_question_div,fill_in_or_graphie,False,EXCLUDE_REQUIRED_IMAGE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,082cdffee1d6449979ba96e8c9fe5fcee87605fc5d0047a3a234a7c5bdd6789f,13b1f324707036e59bd5f2187f21a14140907be7f27012288ccb08df3cc3e4c8,html_question_div,fill_in_or_graphie,True,PASS_TEXT_COMPLETE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
junyi,68972f4a298649fa6afa1cd2242242ba8b395a8f6aa5da7e897810abe093c6b2,feec5bcba157fffc0d0703e6365d586e41cf2d2b7d18f25e76be7e11dbd28890,html_question_div,fill_in_or_graphie,True,PASS_TEXT_COMPLETE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
junyi,d14a670931a84e938045327474b5c679ed6714a8a42c87fea6bf0817869c6ebc,491b9fbd87ed25ecd99c30f0500a5580f914984558da3aea8620d4f4059cdf88,html_question_div,fill_in_or_graphie,True,PASS_TEXT_COMPLETE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
junyi,bb51bf929fa708049438b4e2f4b83d157022c73c07c2ead4d6626fa8abe4a18d,520987bc30132c4afc9f6cff1c674702e865244b9c129c6c7c294efa4c25ec67,html_question_div,fill_in_or_graphie,False,EXCLUDE_REQUIRED_IMAGE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,261d70b12880c7cc5f272e2d9cbbfb31258fca111a4867fa139e25ee618fcdcd,97d64eb8e41d3a07fceeb82884cfe911fa471537194140f2e54bbc91c81277a1,html_question_div,fill_in_or_graphie,True,PASS_TEXT_COMPLETE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
junyi,c8e7f71e2263632462fb0fc5117f181f7480a306ed6850000bd0c233e8017f57,a13b0cda5996e1ba0800b0dbafbf822db6996d59479492f07221138788d3f2f0,html_question_div,fill_in_or_graphie,True,PASS_TEXT_COMPLETE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
junyi,8251ae892d345cf2f29cddff2a3530c13d639d9179335203ccaa941d7c8c7294,7a405e9f5b48125a2a42d801a6d54157a4ab3ea302cbffac62425035d6c59ae7,html_question_div,fill_in_or_graphie,False,EXCLUDE_REQUIRED_IMAGE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,7780e869e175b01304dd43bbf0dbb845b2289ef228fd755b6da77a1970071b7e,d72cdcf32fa8bad075a045432cd5df4ae4d08b3fee3b98e40d87303612355bcc,html_question_div,fill_in_or_graphie,True,PASS_TEXT_COMPLETE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
junyi,18e7e80ec031b927cbcf6280458a701e7a956af28e0086df3e87c4fa01afa30f,578168dbb9d230a095faa32c1c361f3b28f1776e53e40b69ace17ae778399480,html_question_div,fill_in_or_graphie,False,EXCLUDE_UNRESOLVED_TEMPLATE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,1bfbed96a6c345d9a6404d6424e6efe35642efecc02624a09bca5c28a2bd1601,c236bf90c490462206b2a02b4d9a338801f54c4592dbc384a53a305c7bd483cb,html_question_div,fill_in_or_graphie,True,PASS_TEXT_COMPLETE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
junyi,984833078cf2410adb9ecca2feaac2007d0522bfdea8869295150815c461f6f2,6b4aa0f6732cc8e5f2bb48751605723c205de2f987adc482d92f92ae0f2d94da,html_question_div,fill_in_or_graphie,False,EXCLUDE_REQUIRED_IMAGE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,5b3174e164dbe4c1a10ed13c52123ebfbc360aef43fc342d078093dcbe3b6efb,f9c1a7cd32004cc7a8bc0ed85a6fde36a92db0176f6b21aed418e032b316ca60,html_question_div,fill_in_or_graphie,True,PASS_TEXT_COMPLETE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
junyi,e00c6e04e8d80ba35fea32e49a1c45f69e6a4c0e795a60c57c812858354be8c7,0175fa7aa4d7c57035655454196fc10c9f36a10e9cf6ff8dd28a6e4d47c33e43,html_question_div,fill_in_or_graphie,False,EXCLUDE_UNRESOLVED_TEMPLATE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
junyi,942996e1f66cd1f4c00813391ca1dbd287b1eb9d212f5fe36d3aa7826a9ae0db,edca5dc87070d08733dce2f0dd23fa3d6c2d9f94535846f813b609e487e5ee7e,html_question_div,fill_in_or_graphie,False,EXCLUDE_REQUIRED_IMAGE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,b038b196e84084ca51fd5483073bad2fe82d12d678f83cb382323a94231bc12d,a553b629114b365118fa77a33ac7d21b3a6cb33a0f7180bb40fa9d061d1f287a,html_question_div,fill_in_or_graphie,False,EXCLUDE_UNRESOLVED_TEMPLATE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,2a7121cae9116bef81ec7da9a4dd389494adbb63c2c3c7f4fd2d25585cd81720,a553b629114b365118fa77a33ac7d21b3a6cb33a0f7180bb40fa9d061d1f287a,html_question_div,fill_in_or_graphie,False,EXCLUDE_UNRESOLVED_TEMPLATE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,86956f7afcd666053ac2bc60ed47f35b36861e32e2de2266a765f29d81779877,ae5a2129ba6e448a12fc3676080080727aefc37ebd3c77ff6881e2e7bb5264e5,html_question_div,fill_in_or_graphie,False,EXCLUDE_UNRESOLVED_TEMPLATE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,99525e1cd823a93bb26e01c160af9672f2ac2979bba0a7af22ba618ed357f57c,78f3f23bdcfcd554fff585334b0a761f7d940fc6e964fe3a82dc4a78fc92b4f9,html_question_div,fill_in_or_graphie,True,PASS_TEXT_COMPLETE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
junyi,334bd18347ec64f401489a446a86ec2566ebd6f5893f430c6872606133b7a951,b6140832226743598cfd50ca410020a79501717b6d5247555ab3d300751663c2,html_question_div,fill_in_or_graphie,False,EXCLUDE_REQUIRED_IMAGE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,d308c32bf494f175776a853f229cb1b52dea40da96d6cdf968b511835148429b,b4a39ef497c4d91d562d992f571e1fbf6549bfdfb72349cf6fc7175c4e567e93,html_question_div,fill_in_or_graphie,False,EXCLUDE_REQUIRED_IMAGE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,ec7980780874ece366666f467a2669b70ca1a5d4d56630079770deff5388f2b6,80c7797c0847e84d5a0e58ecdd4c1397109a0ce1514de1e99c74453b9d831434,html_question_div,fill_in_or_graphie,False,EXCLUDE_REQUIRED_IMAGE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,7b61643d465c5ae1a9f06dc604e56c76d63a11645df6e1091ff7eb0e6ddf8c21,cbd11835b785ca00844dae17f354ef0e6dc6c1f237ffb3ab9cb413cb4e77d9db,html_question_div,fill_in_or_graphie,False,EXCLUDE_UNRESOLVED_TEMPLATE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
junyi,c905463065b053a2c3970f2d5eaed6b45c5d83c0dfb39ef71d24c3f653600a1a,cbd11835b785ca00844dae17f354ef0e6dc6c1f237ffb3ab9cb413cb4e77d9db,html_question_div,fill_in_or_graphie,False,EXCLUDE_UNRESOLVED_TEMPLATE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
junyi,35afc320b661a18fbbff1eab4e1cf1233d7f4c275367cd9e4995613f22baca8c,52c07ef8fdf50086ca4b9634f6f3be35d8676fe0bc1ec6f335dbd462dfb29fd5,html_question_div,fill_in_or_graphie,False,EXCLUDE_UNRESOLVED_TEMPLATE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,dac6cfdd621ee664fbb03fc3ef8ba7e989f78dadd225b7efcac306539ab9ff9d,d16c8d749ee4a5dee415201d0035dd821819d2d51d5b2c21e339d5b3ccd36fa9,html_question_div,fill_in_or_graphie,False,EXCLUDE_REQUIRED_IMAGE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,56486ec699dca4fb513825c054ceb196b113b6ab63e24bd57733666dbf8a98c2,063770291cd49b6987e39da27bbefafbf3fb1c974cc032d2f23f1c58bd4adc31,html_question_div,fill_in_or_graphie,False,EXCLUDE_REQUIRED_IMAGE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,447b204411a32b5399da45b92cd12a8c236189cef144ddcbb5d580ea4838a340,a3bcf0a7895758bf81e02f5fbdca5f7844d22b5a5bdca802ea71797aed4a3016,html_title_fallback,fill_in_or_graphie,False,EXCLUDE_TITLE_ONLY,dynamic_template|image_dependency_flag|graphie_only,content_sufficiency_v1,True,True,True
junyi,b40252dd0a8c33fd0dfea63e6d59ebb6c9fecb2c27f7691d17aba4f424f480fa,961acdb63a5a867b744e7526dce5a98df2bc9d461cfc35b1e9744c0c598fa24e,html_title_fallback,fill_in_or_graphie,False,EXCLUDE_TITLE_ONLY,dynamic_template|image_dependency_flag|graphie_only,content_sufficiency_v1,True,True,True
junyi,19df8a9ac0248adef5155c5eb04b8e6ee4514af522782c23bcd28893aaf088d9,a031d3aab807ce6d43cddf77496c007f5b5ed989629c89a8a8b3a54332e88a62,html_title_fallback,fill_in_or_graphie,False,EXCLUDE_TITLE_ONLY,dynamic_template|image_dependency_flag|graphie_only,content_sufficiency_v1,True,True,True
junyi,fb7ad9c5ca1c5d1d3f5d6a2e4bbdba444c6c9b041dedd17b70b748aa1118c167,21dfb61c07587b70838d6f16794bd759f5e401db6fefeac93f8d055489b5f519,html_question_div,fill_in_or_graphie,False,EXCLUDE_REQUIRED_IMAGE,question_div|dynamic_template|image_dependency_flag,content_sufficiency_v1,True,True,False
junyi,8901a212961e26b49fbb44265f7c57d87000cd9b63276c682433385a7d7239b4,28358dee22ca903152055f7dc135fd871dc73ab7b4cdfb18bcf671689a817322,html_question_div,fill_in_or_graphie,True,PASS_TEXT_COMPLETE,question_div|dynamic_template,content_sufficiency_v1,False,True,False
